Id,SalePrice
1461,112309.3408203125
1462,152213.0126953125
1463,181654.6201171875
1464,185752.9833984375
1465,214719.3369140625
1466,169364.0205078125
1467,172189.6650390625
1468,158599.8369140625
1469,193239.1220703125
1470,111299.8115234375
1471,169159.1669921875
1472,91086.1025390625
1473,92532.6201171875
1474,148772.7099609375
1475,108831.1396484375
1476,375861.3310546875
1477,261830.1103515625
1478,291257.3388671875
1479,288183.6533203125
1480,460516.7978515625
1481,300477.8134765625
1482,211830.7177734375
1483,181718.6142578125
1484,180972.0361328125
1485,176297.4169921875
1486,192598.4931640625
1487,337101.1357421875
1488,222794.8115234375
1489,206242.8603515625
1490,239946.4189453125
1491,203585.4306640625
1492,98133.0244140625
1493,178089.6572265625
1494,297049.7294921875
1495,283396.6630859375
1496,238770.7333984375
1497,187557.8662109375
1498,194138.9599609375
1499,142526.8662109375
1500,154156.6064453125
1501,197947.5029296875
1502,127476.2373046875
1503,314576.9775390625
1504,235794.3916015625
1505,219765.0341796875
1506,200067.4423828125
1507,262446.0869140625
1508,211121.4833984375
1509,152281.9638671875
1510,149788.9228515625
1511,178366.8603515625
1512,165444.8173828125
1513,174189.6923828125
1514,164443.0751953125
1515,202762.2822265625
1516,168616.3349609375
1517,186450.8798828125
1518,112963.1572265625
1519,217241.8056640625
1520,122244.4326171875
1521,131425.1201171875
1522,189639.5888671875
1523,95576.4638671875
1524,112841.4443359375
1525,112238.5068359375
1526,102345.6943359375
1527,103190.0693359375
1528,131311.7451171875
1529,155567.2978515625
1530,197588.6455078125
1531,136179.5009765625
1532,112539.8251953125
1533,183324.8916015625
1534,83040.7958984375
1535,153462.2060546875
1536,85491.0302734375
1537,47087.9169921875
1538,142031.6767578125
1539,211483.0361328125
1540,122679.7626953125
1541,123291.4248046875
1542,151661.8837890625
1543,209092.5263671875
1544,92540.3740234375
1545,120637.7607421875
1546,145684.3603515625
1547,138635.8876953125
1548,157105.0654296875
1549,145261.0732421875
1550,154042.8798828125
1551,112740.6513671875
1552,154454.0263671875
1553,160255.7841796875
1554,108508.0224609375
1555,164203.5888671875
1556,79966.5380859375
1557,95905.1044921875
1558,79136.8447265625
1559,56008.1513671875
1560,115300.0771484375
1561,118642.0048828125
1562,138190.9853515625
1563,133573.2607421875
1564,148651.4208984375
1565,139759.6025390625
1566,233470.5400390625
1567,49109.5732421875
1568,236433.8330078125
1569,129599.4912109375
1570,126139.0791015625
1571,133461.7236328125
1572,152146.8544921875
1573,219008.3603515625
1574,142740.4423828125
1575,221921.7333984375
1576,238750.3212890625
1577,185982.3349609375
1578,120698.1552734375
1579,166937.0732421875
1580,187765.4560546875
1581,156764.4169921875
1582,129164.0458984375
1583,290030.5986328125
1584,217911.1455078125
1585,131028.1806640625
1586,69533.4931640625
1587,89603.3115234375
1588,162115.9580078125
1589,76352.4541015625
1590,128898.1396484375
1591,100739.2255859375
1592,99218.5107421875
1593,109758.9013671875
1594,1786775354.8876953
1595,129815.6982421875
1596,235677.9951171875
1597,208506.7314453125
1598,222747.6962890625
1599,189915.7529296875
1600,188776.6240234375
1601,38626.3037109375
1602,112542.7451171875
1603,40583.8681640625
1604,291344.9326171875
1605,229662.0068359375
1606,153506.1044921875
1607,183682.2548828125
1608,201922.9521484375
1609,195841.0791015625
1610,142709.2392578125
1611,136533.3916015625
1612,186341.6943359375
1613,156753.1318359375
1614,128675.3115234375
1615,95837.5888671875
1616,74474.2236328125
1617,74083.5615234375
1618,150771.7666015625
1619,130107.3779296875
1620,177583.5869140625
1621,127770.9248046875
1622,134019.9384765625
1623,244309.3681640625
1624,214736.3330078125
1625,114217.8828125
1626,174326.6708984375
1627,189112.8232421875
1628,273148.04296875
1629,171534.7080078125
1630,366297.78515625
1631,256980.9189453125
1632,251100.7607421875
1633,161386.6689453125
1634,177560.01953125
1635,169251.6240234375
1636,140372.181640625
1637,211564.130859375
1638,182108.0400390625
1639,182678.7978515625
1640,246113.8623046875
1641,185190.5439453125
1642,250030.0771484375
1643,214196.966796875
1644,214268.5224609375
1645,207069.71484375
1646,151874.2880859375
1647,151747.078125
1648,127660.2978515625
1649,127730.6318359375
1650,95893.9248046875
1651,123307.3134765625
1652,103967.7509765625
1653,101915.27734375
1654,148751.6982421875
1655,148172.68359375
1656,145828.880859375
1657,165460.7080078125
1658,144275.4287109375
1659,132458.3173828125
1660,158767.28125
1661,420389.80859375
1662,382694.044921875
1663,387970.1318359375
1664,-490789567.5371094
1665,326621.2265625
1666,316624.0654296875
1667,379589.798828125
1668,348636.8134765625
1669,296524.1298828125
1670,347298.216796875
1671,267016.263671875
1672,401781.8583984375
1673,294937.8212890625
1674,255093.4169921875
1675,212421.7255859375
1676,215562.2568359375
1677,218377.3447265625
1678,454865.84765625
1679,371259.369140625
1680,339593.8349609375
1681,271924.5068359375
1682,302159.2841796875
1683,191905.9033203125
1684,163293.83984375
1685,174755.1728515625
1686,171830.6044921875
1687,163162.990234375
1688,182071.609375
1689,191268.82421875
1690,179840.6396484375
1691,171339.830078125
1692,252692.5244140625
1693,181740.83203125
1694,172781.8271484375
1695,161916.0556640625
1696,265838.30859375
1697,167326.181640625
1698,339323.6357421875
1699,320915.453125
1700,273057.015625
1701,284280.9853515625
1702,235022.427734375
1703,212282.4326171875
1704,270717.31640625
1705,238591.9658203125
1706,-60499.9501953125
1707,222878.1328125
1708,204047.2470703125
1709,264156.4638671875
1710,225960.716796875
1711,261851.4599609375
1712,254629.6953125
1713,265456.318359375
1714,214559.19921875
1715,207732.0146484375
1716,181684.44140625
1717,168079.5927734375
1718,156868.87890625
1719,238027.26171875
1720,247613.193359375
1721,151687.19140625
1722,122147.53515625
1723,145909.216796875
1724,212769.3828125
1725,242418.1962890625
1726,187313.7861328125
1727,143582.416015625
1728,151157.4443359375
1729,174524.3486328125
1730,144171.09765625
1731,123276.6318359375
1732,126344.361328125
1733,112127.9970703125
1734,138897.2578125
1735,94950.3486328125
1736,92064.8505859375
1737,296991.9736328125
1738,249296.474609375
1739,270873.3623046875
1740,246454.5869140625
1741,198882.4931640625
1742,174029.7021484375
1743,164162.166015625
1744,328538.1240234375
1745,239989.486328125
1746,219429.5322265625
1747,217269.1455078125
1748,235417.9326171875
1749,146982.4443359375
1750,132323.21484375
1751,232224.0
1752,102829.548828125
1753,159896.8154296875
1754,205357.4130859375
1755,175017.0380859375
1756,128724.5283203125
1757,114112.7265625
1758,140671.2470703125
1759,166537.7265625
1760,148673.0126953125
1761,163153.736328125
1762,191780.6943359375
1763,169902.7431640625
1764,99182.6435546875
1765,156972.798828125
1766,178343.486328125
1767,231089.6533203125
1768,136101.2216796875
1769,154826.5595703125
1770,150247.9365234375
1771,120838.0703125
1772,157553.6884765625
1773,125609.9140625
1774,157351.8623046875
1775,138363.7783203125
1776,128675.904296875
1777,86370.6357421875
1778,140431.3076171875
1779,159332.21875
1780,169703.6328125
1781,117270.0849609375
1782,84133.4248046875
1783,151740.8857421875
1784,70423.4892578125
1785,134645.5810546875
1786,196958.2099609375
1787,151426.9189453125
1788,27039.7001953125
1789,98589.0517578125
1790,68878.4501953125
1791,203261.12109375
1792,164075.6220703125
1793,126011.548828125
1794,158785.654296875
1795,142822.5283203125
1796,115886.7763671875
1797,120915.5400390625
1798,116205.7998046875
1799,96752.8310546875
1800,116357.8828125
1801,130148.59375
1802,136214.4755859375
1803,161626.142578125
1804,122195.5263671875
1805,129969.0908203125
1806,123273.5693359375
1807,148196.4306640625
1808,118966.2978515625
1809,132363.9541015625
1810,135816.4912109375
1811,42975.5205078125
1812,101766.5634765625
1813,132985.3369140625
1814,68430.6142578125
1815,39651.5205078125
1816,81247.9443359375
1817,99039.1181640625
1818,175483.5283203125
1819,143789.5390625
1820,41757.2275390625
1821,107679.9267578125
1822,144731.2041015625
